No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
134,M95,S9_HEIGHT_CHK_MC_TR4,0,2024-01-29T09:59:45.957947,Alarm,1
135,M131,S7_WELDING_CHK_MISSING_TR1_,0,2024-01-29T09:59:46.208993,Alarm,1
136,M132,S7_WELDING_CHK_MISSING_TR3,0,2024-01-29T09:59:46.430843,Alarm,1
137,M133,S6_WELDING_CHK_MISSING_TR2,0,2024-01-29T09:59:46.661149,Alarm,1
138,M134,S6_WELDING_CHK_MISSING_TR4,0,2024-01-29T09:59:46.876545,Alarm,1
139,M115,S10_LEAK_TEST_MISS_TR1,0,2024-01-29T09:59:46.925467,Alarm,1
140,M51,S10_LEAK_TEST_MISS_TR2,0,2024-01-29T09:59:47.180875,Alarm,1
141,M116,S10_LEAK_TEST_MISS_TR3,0,2024-01-29T09:59:47.435150,Alarm,1
142,M117,S10_LEAK_TEST_MISS_TR4,0,2024-01-29T09:59:47.661057,Alarm,1
143,M125,S1_B-F-1_JAM_,0,2024-01-29T09:59:47.889026,Alarm,1
144,M126,S1_B-F-2_JAM_,0,2024-01-29T09:59:48.104645,Alarm,1
145,M127,S2_B-F_-1_JAM,1,2024-01-29T09:59:48.358809,Alarm,1
146,M128,S4_B-F_-1_JAM_,0,2024-01-29T09:59:48.591096,Alarm,1
147,M129,S4_B-F-2_JAM,0,2024-01-29T09:59:48.826752,Alarm,1
0,M32,AIR_PRESSURE_LOW,1,2024-01-29T10:05:04.262029,Alarm,1
1,D3050,BOTTOM_CAP_REJ_TR1,4,2024-01-29T10:05:04.272085,Checking,1
2,3,machineStatus,3,2024-01-29T10:05:04.277082,MachineStatus,1
3,D936,JOB_MIN,84,2024-01-29T10:05:04.282598,Counting,1
4,D4116,S8_OFF_SET_TR1,20.95,2024-01-29T10:05:04.292815,Setting,1
5,M33,INDEX_MOTOR_OVERLOAD,0,2024-01-29T10:05:04.302507,Alarm,1
6,D3012,goodProductRaw,10201,2024-01-29T10:05:04.525112,Counting,1
7,D3052,SILICON_PRESENCE_REJ_TR1,9,2024-01-29T10:05:04.530125,Checking,1
8,M34,MANUAL_CONTROL_NOT_ON,0,2024-01-29T10:05:04.541201,Alarm,1
9,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,21.0,2024-01-29T10:05:04.550144,Setting,1
10,M35,EMERGENCY_STOP_PREESD,0,2024-01-29T10:05:04.770012,Alarm,1
11,D3043,EFF,98.7,2024-01-29T10:05:04.780433,Counting,1
12,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,21.32,2024-01-29T10:05:04.789972,Setting,1
13,D3054,COVER_PRESENCE_REJ_TR1,7,2024-01-29T10:05:04.799829,Checking,1
14,D4316,S8_OFF_SET_TR3,21.07,2024-01-29T10:05:05.022961,Setting,1
15,D3150,ACT_BATCH_CNT,99,2024-01-29T10:05:05.029982,Counting,1
16,D3056,HEIGHT_CHK_REJ_TR1,4,2024-01-29T10:05:05.039898,Checking,1
17,M36,MANCHINE_IN_AUTO_MODE,0,2024-01-29T10:05:05.050337,Alarm,1
18,operationTimeRaw,operationTimeRaw,00:01:12,2024-01-29T10:05:05.070209,Counting,1
19,D3058,LEAK_TEST_CHK_OK_TR1,2,2024-01-29T10:05:05.283009,Checking,1
20,D4324,S8_MINIMUM_HEIGHT_VALUE_TR3,21.0,2024-01-29T10:05:05.290163,Setting,1
21,M37,MANUAL_MODE_SELECTED,0,2024-01-29T10:05:05.301805,Alarm,1
22,D3160,SET_BATCH_QTY,5050,2024-01-29T10:05:05.310358,Counting,1
23,D3000,TOTAL_CNT_TR1,2585,2024-01-29T10:05:05.539982,Counting,1
24,M38,BOWL_FEEDER_SWITCH_NOT_ON,0,2024-01-29T10:05:05.549854,Alarm,1
25,D4328,S8_MAXIMUM_HEIGHT_VALUE_TR3,21.3,2024-01-29T10:05:05.559915,Setting,1
26,D3064,BOTTOM_CAP_REJ_TR2,15,2024-01-29T10:05:05.570355,Checking,1
27,M39,LINEAR_FEEDER_SWITCH_NOT_ON,0,2024-01-29T10:05:05.790255,Alarm,1
